,id,filename,vector,label
0,0,../../images/data/1865/189.jpg,"[-0.25096622109413147, 0.7435303926467896, 0.8389120101928711, -3.521078109741211]",0
1,1,../../images/data/1865/77.jpg,"[-0.5436822772026062, -0.10326983779668808, 1.0646798610687256, -0.4205000102519989]",0
2,2,../../images/data/1865/162.jpg,"[-0.4144737422466278, 0.4466101825237274, 0.6646136045455933, -2.0216898918151855]",0
3,3,../../images/data/1865/88.jpg,"[-0.9406499266624451, -1.0292201042175293, -2.308497190475464, -1.049176573753357]",0
4,4,../../images/data/1865/348.jpg,"[1.8904814720153809, 0.6623103618621826, -0.7676739692687988, -1.985768437385559]",0
5,5,../../images/data/1865/360.jpg,"[0.23936596512794495, 0.196761354804039, 1.0543251037597656, -1.0924824476242065]",0
6,6,../../images/data/1865/228.jpg,"[1.7571158409118652, -2.180034875869751, -2.5409352779388428, -3.3040575981140137]",0
7,7,../../images/data/1865/214.jpg,"[-1.4900054931640625, -1.523558259010315, 1.3877677917480469, -0.9279212951660156]",0
8,8,../../images/data/1865/200.jpg,"[0.5702839493751526, -1.4508235454559326, -0.15945102274417877, -1.805211067199707]",0
9,9,../../images/data/1865/215.jpg,"[0.5779183506965637, -0.11530926078557968, 0.23742793500423431, -0.8202810287475586]",0
10,10,../../images/data/1865/229.jpg,"[0.34132805466651917, -0.3378632366657257, 1.0508663654327393, -0.7033724784851074]",0
11,11,../../images/data/1865/375.jpg,"[0.36174657940864563, 0.22297213971614838, 0.7742969989776611, -0.8424181938171387]",0
12,12,../../images/data/1865/349.jpg,"[0.9825742840766907, -1.2776079177856445, -0.39045146107673645, -1.293200969696045]",0
13,13,../../images/data/1865/177.jpg,"[-0.11620651930570602, 0.1137867346405983, 1.277588129043579, -0.21011927723884583]",0
14,14,../../images/data/1865/89.jpg,"[-0.20011833310127258, -0.8463165760040283, 1.1480356454849243, 0.4907126724720001]",0
15,15,../../images/data/1865/188.jpg,"[1.020052433013916, 0.8512670993804932, -1.2490344047546387, -3.6133131980895996]",0
16,16,../../images/data/1865/76.jpg,"[1.0747525691986084, -0.37560442090034485, 0.12228105962276459, -1.3702585697174072]",0
17,17,../../images/data/1865/62.jpg,"[2.039440631866455, -1.590421199798584, 0.14901195466518402, 0.017887704074382782]",0
18,18,../../images/data/1865/60.jpg,"[0.15769639611244202, -0.26955893635749817, 0.44954225420951843, -1.2218804359436035]",0
19,19,../../images/data/1865/48.jpg,"[1.033854603767395, -0.09755732864141464, -0.5386795997619629, -0.7766566276550293]",0
20,20,../../images/data/1865/149.jpg,"[0.6770666241645813, -0.500258207321167, 0.5306768417358398, -2.344878673553467]",0
21,21,../../images/data/1865/161.jpg,"[-0.8724212050437927, 1.5511175394058228, -1.0334789752960205, -0.3050960600376129]",0
22,22,../../images/data/1865/388.jpg,"[-0.14898964762687683, -1.2418270111083984, 0.2594597041606903, -0.7889528274536133]",0
23,23,../../images/data/1865/377.jpg,"[-0.3014054000377655, 0.1332002729177475, -0.10803152620792389, -2.3471312522888184]",0
24,24,../../images/data/1865/203.jpg,"[-1.4196603298187256, 0.14980028569698334, 1.1724426746368408, -3.132502317428589]",0
25,25,../../images/data/1865/217.jpg,"[0.6473153233528137, -0.1805446296930313, 0.49164626002311707, -1.613889217376709]",0
26,26,../../images/data/1865/216.jpg,"[-0.2019176185131073, -0.10168685764074326, 1.1904793977737427, -0.5588826537132263]",0
27,27,../../images/data/1865/362.jpg,"[0.9983039498329163, 0.24069224298000336, 1.042443037033081, -1.8276630640029907]",0
28,28,../../images/data/1865/376.jpg,"[0.08313993364572525, -0.5383045673370361, 0.08940623700618744, -2.673665761947632]",0
29,29,../../images/data/1865/389.jpg,"[0.961172878742218, -0.3936059772968292, -1.4755973815917969, 0.8589460849761963]",0
30,30,../../images/data/1865/174.jpg,"[0.23072722554206848, 0.06142793223261833, -0.2805030643939972, -2.3558900356292725]",0
31,31,../../images/data/1865/148.jpg,"[0.25830915570259094, 0.5694515705108643, -0.849714994430542, -1.7513222694396973]",0
32,32,../../images/data/1865/49.jpg,"[-0.3481544554233551, -0.5992006659507751, 1.4948095083236694, -0.24388191103935242]",0
33,33,../../images/data/1865/75.jpg,"[0.5442023873329163, -0.04345347359776497, 0.1782686561346054, -1.4454143047332764]",0
34,34,../../images/data/1865/59.jpg,"[-0.14266535639762878, 1.4343544244766235, 0.4092049300670624, -1.0667381286621094]",0
35,35,../../images/data/1865/71.jpg,"[1.184216856956482, 0.2396402209997177, 0.6924190521240234, -2.197096586227417]",0
36,36,../../images/data/1865/170.jpg,"[-0.5478548407554626, -0.5185487270355225, -0.47788694500923157, -3.195159435272217]",0
37,37,../../images/data/1865/164.jpg,"[0.41722920536994934, 0.8194129467010498, 0.8154971599578857, -1.2981295585632324]",0
38,38,../../images/data/1865/158.jpg,"[-0.3821072280406952, -0.8494656085968018, -0.09547950327396393, -2.0975730419158936]",0
39,39,../../images/data/1865/372.jpg,"[0.04215196147561073, 0.06354282051324844, 0.8059430122375488, -1.1051040887832642]",0
40,40,../../images/data/1865/366.jpg,"[0.5150229930877686, -0.5081325769424438, 0.813207745552063, -1.0788556337356567]",0
41,41,../../images/data/1865/206.jpg,"[0.7587090134620667, -0.28847959637641907, 0.591717004776001, -1.9078235626220703]",0
42,42,../../images/data/1865/213.jpg,"[0.595647931098938, -0.6686481833457947, 0.9146890640258789, -0.25825735926628113]",0
